[2025-01-15 17:28:47.379731] Active jobs: 4, Completed: 1
[2025-01-15 17:39:24.841740] Active jobs: 1, Completed: 4
[2025-01-15 17:39:26.073724] Active jobs: 0, Completed: 5
[2025-01-15 17:39:46.401130] Active jobs: 4, Completed: 1
[2025-01-15 17:39:49.658458] Active jobs: 3, Completed: 2
[2025-01-15 17:39:50.373437] Active jobs: 2, Completed: 3
[2025-01-15 17:39:50.517149] Active jobs: 1, Completed: 4
[2025-01-15 17:39:52.321204] Active jobs: 0, Completed: 5
[2025-01-15 17:40:11.749485] Active jobs: 4, Completed: 1
[2025-01-15 17:40:15.849468] Active jobs: 3, Completed: 2
[2025-01-15 17:40:16.307703] Active jobs: 2, Completed: 3
[2025-01-15 17:40:16.702413] Active jobs: 1, Completed: 4
[2025-01-15 17:40:17.972764] Active jobs: 0, Completed: 5
[2025-01-15 17:40:37.068210] Active jobs: 4, Completed: 1
[2025-01-15 17:40:42.283154] Active jobs: 3, Completed: 2
[2025-01-15 17:40:43.137371] Active jobs: 2, Completed: 3
[2025-01-15 17:40:43.683552] Active jobs: 1, Completed: 4
[2025-01-15 17:40:44.370582] Active jobs: 0, Completed: 5
[2025-01-15 17:41:05.144855] Active jobs: 4, Completed: 1
[2025-01-15 17:41:08.966927] Active jobs: 3, Completed: 2
[2025-01-15 17:41:09.132138] Active jobs: 2, Completed: 3
[2025-01-15 17:41:09.820963] Active jobs: 1, Completed: 4
[2025-01-15 17:41:10.783376] Active jobs: 0, Completed: 5
[2025-01-15 17:41:31.505534] Active jobs: 4, Completed: 1
[2025-01-15 17:41:34.795546] Active jobs: 3, Completed: 2
[2025-01-15 17:41:35.328516] Active jobs: 2, Completed: 3
[2025-01-15 17:41:35.672359] Active jobs: 1, Completed: 4
[2025-01-15 17:41:36.716602] Active jobs: 0, Completed: 5
[2025-01-15 17:41:56.999292] Active jobs: 4, Completed: 1
[2025-01-15 17:42:01.127591] Active jobs: 3, Completed: 2
[2025-01-15 17:42:01.998983] Active jobs: 2, Completed: 3
[2025-01-15 17:42:02.713780] Active jobs: 1, Completed: 4
[2025-01-15 17:42:03.404711] Active jobs: 0, Completed: 5
[2025-01-15 17:42:23.281944] Active jobs: 4, Completed: 1
[2025-01-15 17:42:27.945135] Active jobs: 3, Completed: 2
[2025-01-15 17:42:28.354264] Active jobs: 2, Completed: 3
[2025-01-15 17:42:28.833830] Active jobs: 1, Completed: 4
[2025-01-15 17:42:30.154067] Active jobs: 0, Completed: 5
[2025-01-15 17:42:50.214881] Active jobs: 4, Completed: 1
[2025-01-15 17:42:54.129293] Active jobs: 3, Completed: 2
[2025-01-15 17:42:54.302721] Active jobs: 2, Completed: 3
[2025-01-15 17:42:55.030204] Active jobs: 1, Completed: 4
[2025-01-15 17:42:56.058025] Active jobs: 0, Completed: 5
[2025-01-15 17:43:18.569456] Active jobs: 4, Completed: 1
[2025-01-15 17:43:20.004432] Active jobs: 3, Completed: 2
[2025-01-15 17:43:20.830559] Active jobs: 2, Completed: 3
[2025-01-15 17:43:21.809643] Active jobs: 1, Completed: 4
[2025-01-15 17:43:22.998291] Active jobs: 0, Completed: 5
[2025-01-15 17:43:42.139698] Active jobs: 4, Completed: 1
[2025-01-15 17:43:46.796911] Active jobs: 3, Completed: 2
[2025-01-15 17:43:47.991353] Active jobs: 2, Completed: 3
[2025-01-15 17:43:48.501135] Active jobs: 1, Completed: 4
[2025-01-15 17:43:49.018434] Active jobs: 0, Completed: 5
[2025-01-15 17:44:07.208097] Active jobs: 4, Completed: 1
[2025-01-15 17:44:12.713931] Active jobs: 3, Completed: 2
[2025-01-15 17:44:14.654364] Active jobs: 2, Completed: 3
[2025-01-15 17:44:14.796127] Active jobs: 1, Completed: 4
[2025-01-15 17:44:15.342069] Active jobs: 0, Completed: 5
[2025-01-15 17:44:34.343223] Active jobs: 4, Completed: 1
[2025-01-15 17:44:40.235434] Active jobs: 3, Completed: 2
[2025-01-15 17:44:40.719311] Active jobs: 2, Completed: 3
[2025-01-15 17:44:40.946456] Active jobs: 1, Completed: 4
[2025-01-15 17:44:41.646502] Active jobs: 0, Completed: 5
[2025-01-15 17:45:03.060535] Active jobs: 4, Completed: 1
[2025-01-15 17:45:04.257845] Active jobs: 3, Completed: 2
[2025-01-15 17:45:05.374551] Active jobs: 2, Completed: 3
[2025-01-15 17:45:07.026824] Active jobs: 1, Completed: 4
[2025-01-15 17:45:07.903175] Active jobs: 0, Completed: 5
[2025-01-15 17:45:28.302835] Active jobs: 4, Completed: 1
[2025-01-15 17:45:31.518061] Active jobs: 3, Completed: 2
[2025-01-15 17:45:32.222023] Active jobs: 2, Completed: 3
[2025-01-15 17:45:32.810717] Active jobs: 1, Completed: 4
[2025-01-15 17:45:34.184373] Active jobs: 0, Completed: 5
[2025-01-15 17:45:56.291613] Active jobs: 4, Completed: 1
[2025-01-15 17:45:57.183525] Active jobs: 3, Completed: 2
[2025-01-15 17:45:57.674137] Active jobs: 2, Completed: 3
[2025-01-15 17:45:59.055000] Active jobs: 1, Completed: 4
[2025-01-15 17:46:00.425111] Active jobs: 0, Completed: 5
[2025-01-15 17:46:20.757330] Active jobs: 4, Completed: 1
[2025-01-15 17:46:24.003398] Active jobs: 3, Completed: 2
[2025-01-15 17:46:24.898770] Active jobs: 2, Completed: 3
[2025-01-15 17:46:25.373729] Active jobs: 1, Completed: 4
[2025-01-15 17:46:26.242737] Active jobs: 0, Completed: 5
[2025-01-15 17:46:45.352633] Active jobs: 4, Completed: 1
[2025-01-15 17:46:51.348544] Active jobs: 3, Completed: 2
[2025-01-15 17:46:51.777890] Active jobs: 2, Completed: 3
[2025-01-15 17:46:51.892897] Active jobs: 1, Completed: 4
[2025-01-15 17:46:52.786507] Active jobs: 0, Completed: 5
[2025-01-15 17:47:12.670861] Active jobs: 4, Completed: 1
[2025-01-15 17:47:15.434734] Active jobs: 3, Completed: 2
[2025-01-15 17:47:16.825236] Active jobs: 2, Completed: 3
[2025-01-15 17:47:17.239100] Active jobs: 1, Completed: 4
[2025-01-15 17:47:18.101140] Active jobs: 0, Completed: 5
[2025-01-15 17:47:37.559502] Active jobs: 4, Completed: 1
[2025-01-15 17:47:42.278467] Active jobs: 3, Completed: 2
[2025-01-15 17:47:43.100375] Active jobs: 2, Completed: 3
[2025-01-15 17:47:43.693597] Active jobs: 1, Completed: 4
[2025-01-15 17:47:44.481230] Active jobs: 0, Completed: 5
[2025-01-15 17:48:05.294819] Active jobs: 4, Completed: 1
[2025-01-15 17:48:06.846580] Active jobs: 3, Completed: 2
[2025-01-15 17:48:07.602055] Active jobs: 2, Completed: 3
[2025-01-15 17:48:09.443267] Active jobs: 1, Completed: 4
[2025-01-15 17:48:10.344345] Active jobs: 0, Completed: 5
[2025-01-15 17:48:29.089796] Active jobs: 4, Completed: 1
[2025-01-15 17:48:33.702292] Active jobs: 3, Completed: 2
[2025-01-15 17:48:35.157714] Active jobs: 2, Completed: 3
[2025-01-15 17:48:35.981480] Active jobs: 1, Completed: 4
[2025-01-15 17:48:36.282507] Active jobs: 0, Completed: 5
[2025-01-15 17:48:57.281036] Active jobs: 4, Completed: 1
[2025-01-15 17:48:59.932974] Active jobs: 3, Completed: 2
[2025-01-15 17:49:01.346504] Active jobs: 2, Completed: 3
[2025-01-15 17:49:02.076205] Active jobs: 1, Completed: 4
[2025-01-15 17:49:02.793491] Active jobs: 0, Completed: 5
[2025-01-15 17:49:22.859791] Active jobs: 4, Completed: 1
[2025-01-15 17:49:26.151933] Active jobs: 3, Completed: 2
[2025-01-15 17:49:27.303711] Active jobs: 2, Completed: 3
[2025-01-15 17:49:27.621296] Active jobs: 1, Completed: 4
[2025-01-15 17:49:28.543948] Active jobs: 0, Completed: 5
[2025-01-15 17:49:48.203375] Active jobs: 4, Completed: 1
[2025-01-15 17:49:51.609472] Active jobs: 3, Completed: 2
[2025-01-15 17:49:52.713096] Active jobs: 2, Completed: 3
[2025-01-15 17:49:53.383580] Active jobs: 1, Completed: 4
[2025-01-15 17:49:54.099038] Active jobs: 0, Completed: 5
[2025-01-15 17:50:14.198983] Active jobs: 4, Completed: 1
[2025-01-15 17:50:17.075106] Active jobs: 3, Completed: 2
[2025-01-15 17:50:18.687552] Active jobs: 2, Completed: 3
[2025-01-15 17:50:19.064722] Active jobs: 1, Completed: 4
[2025-01-15 17:50:19.919106] Active jobs: 0, Completed: 5
[2025-01-15 17:50:40.570668] Active jobs: 4, Completed: 1
[2025-01-15 17:50:44.844899] Active jobs: 3, Completed: 2
[2025-01-15 17:50:44.993638] Active jobs: 2, Completed: 3
[2025-01-15 17:50:45.149534] Active jobs: 1, Completed: 4
[2025-01-15 17:50:46.337352] Active jobs: 0, Completed: 5
[2025-01-15 17:51:06.861128] Active jobs: 4, Completed: 1
[2025-01-15 17:51:09.925344] Active jobs: 3, Completed: 2
[2025-01-15 17:51:10.561602] Active jobs: 2, Completed: 3
[2025-01-15 17:51:11.166560] Active jobs: 1, Completed: 4
[2025-01-15 17:51:12.319200] Active jobs: 0, Completed: 5
[2025-01-15 17:51:31.842590] Active jobs: 4, Completed: 1
[2025-01-15 17:51:35.768334] Active jobs: 3, Completed: 2
[2025-01-15 17:51:36.270222] Active jobs: 2, Completed: 3
[2025-01-15 17:51:36.393217] Active jobs: 1, Completed: 4
[2025-01-15 17:51:37.512124] Active jobs: 0, Completed: 5
[2025-01-15 17:51:55.542916] Active jobs: 4, Completed: 1
[2025-01-15 17:52:03.542419] Active jobs: 3, Completed: 2
[2025-01-15 17:52:03.652672] Active jobs: 2, Completed: 3
[2025-01-15 17:52:04.069448] Active jobs: 1, Completed: 4
[2025-01-15 17:52:04.211500] Active jobs: 0, Completed: 5
[2025-01-15 17:52:24.280109] Active jobs: 4, Completed: 1
[2025-01-15 17:52:27.340996] Active jobs: 3, Completed: 2
[2025-01-15 17:52:28.336164] Active jobs: 2, Completed: 3
[2025-01-15 17:52:28.531038] Active jobs: 1, Completed: 4
[2025-01-15 17:52:29.677286] Active jobs: 0, Completed: 5
[2025-01-15 17:52:48.211016] Active jobs: 4, Completed: 1
[2025-01-15 17:52:53.650221] Active jobs: 3, Completed: 2
[2025-01-15 17:52:55.080182] Active jobs: 2, Completed: 3
[2025-01-15 17:52:55.329977] Active jobs: 1, Completed: 4
[2025-01-15 17:52:55.926651] Active jobs: 0, Completed: 5
[2025-01-15 17:53:14.778186] Active jobs: 4, Completed: 1
[2025-01-15 17:53:20.807447] Active jobs: 3, Completed: 2
[2025-01-15 17:53:21.523207] Active jobs: 2, Completed: 3
[2025-01-15 17:53:22.166701] Active jobs: 1, Completed: 4
[2025-01-15 17:53:22.638724] Active jobs: 0, Completed: 5
[2025-01-15 17:53:42.891779] Active jobs: 4, Completed: 1
[2025-01-15 17:53:46.109888] Active jobs: 3, Completed: 2
[2025-01-15 17:53:47.489691] Active jobs: 2, Completed: 3
[2025-01-15 17:53:47.797179] Active jobs: 1, Completed: 4
[2025-01-15 17:53:48.759546] Active jobs: 0, Completed: 5
[2025-01-15 17:54:10.153598] Active jobs: 4, Completed: 1
[2025-01-15 17:54:12.071880] Active jobs: 3, Completed: 2
[2025-01-15 17:54:13.300505] Active jobs: 2, Completed: 3
[2025-01-15 17:54:13.917125] Active jobs: 1, Completed: 4
[2025-01-15 17:54:14.946073] Active jobs: 0, Completed: 5
[2025-01-15 17:54:35.428677] Active jobs: 4, Completed: 1
[2025-01-15 17:54:38.942802] Active jobs: 3, Completed: 2
[2025-01-15 17:54:39.628558] Active jobs: 2, Completed: 3
[2025-01-15 17:54:40.013296] Active jobs: 1, Completed: 4
[2025-01-15 17:54:40.973988] Active jobs: 0, Completed: 5
[2025-01-15 17:55:01.159493] Active jobs: 4, Completed: 1
[2025-01-15 17:55:03.595146] Active jobs: 3, Completed: 2
[2025-01-15 17:55:04.807260] Active jobs: 2, Completed: 3
[2025-01-15 17:55:05.103193] Active jobs: 1, Completed: 4
[2025-01-15 17:55:06.272029] Active jobs: 0, Completed: 5
[2025-01-15 17:55:26.393155] Active jobs: 4, Completed: 1
[2025-01-15 17:55:29.595036] Active jobs: 3, Completed: 2
[2025-01-15 17:55:30.262912] Active jobs: 2, Completed: 3
[2025-01-15 17:55:30.757756] Active jobs: 1, Completed: 4
[2025-01-15 17:55:31.727378] Active jobs: 0, Completed: 5
[2025-01-15 17:55:50.461573] Active jobs: 4, Completed: 1
[2025-01-15 17:55:54.698769] Active jobs: 3, Completed: 2
[2025-01-15 17:55:56.717420] Active jobs: 2, Completed: 3
[2025-01-15 17:55:57.376720] Active jobs: 1, Completed: 4
[2025-01-15 17:55:57.577291] Active jobs: 0, Completed: 5
[2025-01-15 17:56:16.812298] Active jobs: 4, Completed: 1
[2025-01-15 17:56:20.551496] Active jobs: 3, Completed: 2
[2025-01-15 17:56:21.772757] Active jobs: 2, Completed: 3
[2025-01-15 17:56:21.989644] Active jobs: 1, Completed: 4
[2025-01-15 17:56:22.816720] Active jobs: 0, Completed: 5
[2025-01-15 17:56:40.813712] Active jobs: 4, Completed: 1
[2025-01-15 17:56:44.983896] Active jobs: 3, Completed: 2
[2025-01-15 17:56:48.384167] Active jobs: 2, Completed: 3
[2025-01-15 17:56:48.562496] Active jobs: 1, Completed: 4
[2025-01-15 17:56:48.719792] Active jobs: 0, Completed: 5
[2025-01-15 17:57:09.502621] Active jobs: 4, Completed: 1
[2025-01-15 17:57:12.755968] Active jobs: 3, Completed: 2
[2025-01-15 17:57:13.332360] Active jobs: 2, Completed: 3
[2025-01-15 17:57:13.552425] Active jobs: 1, Completed: 4
[2025-01-15 17:57:14.830228] Active jobs: 0, Completed: 5
[2025-01-15 17:57:36.000861] Active jobs: 4, Completed: 1
[2025-01-15 17:57:39.023427] Active jobs: 3, Completed: 2
[2025-01-15 17:57:39.335744] Active jobs: 2, Completed: 3
[2025-01-15 17:57:39.817907] Active jobs: 1, Completed: 4
[2025-01-15 17:57:40.867657] Active jobs: 0, Completed: 5
[2025-01-15 17:58:00.091775] Active jobs: 4, Completed: 1
[2025-01-15 17:58:04.665536] Active jobs: 3, Completed: 2
[2025-01-15 17:58:05.593697] Active jobs: 2, Completed: 3
[2025-01-15 17:58:05.786434] Active jobs: 1, Completed: 4
[2025-01-15 17:58:06.482386] Active jobs: 0, Completed: 5
[2025-01-15 17:58:25.108572] Active jobs: 4, Completed: 1
[2025-01-15 17:58:28.652481] Active jobs: 3, Completed: 2
[2025-01-15 17:58:31.307667] Active jobs: 2, Completed: 3
[2025-01-15 17:58:31.589769] Active jobs: 1, Completed: 4
[2025-01-15 17:58:32.096560] Active jobs: 0, Completed: 5
[2025-01-15 17:58:51.546855] Active jobs: 4, Completed: 1
[2025-01-15 17:58:55.690090] Active jobs: 3, Completed: 2
[2025-01-15 17:58:57.577810] Active jobs: 2, Completed: 3
[2025-01-15 17:58:57.697374] Active jobs: 1, Completed: 4
[2025-01-15 17:58:58.236809] Active jobs: 0, Completed: 5
[2025-01-15 17:59:18.096999] Active jobs: 4, Completed: 1
[2025-01-15 17:59:21.590204] Active jobs: 3, Completed: 2
[2025-01-15 17:59:22.596050] Active jobs: 2, Completed: 3
[2025-01-15 17:59:23.376977] Active jobs: 1, Completed: 4
[2025-01-15 17:59:24.095315] Active jobs: 0, Completed: 5
[2025-01-15 17:59:42.905148] Active jobs: 4, Completed: 1
[2025-01-15 17:59:47.602187] Active jobs: 3, Completed: 2
[2025-01-15 17:59:48.856810] Active jobs: 2, Completed: 3
[2025-01-15 17:59:49.275604] Active jobs: 1, Completed: 4
[2025-01-15 17:59:49.818690] Active jobs: 0, Completed: 5
[2025-01-15 18:00:10.987146] Active jobs: 4, Completed: 1
[2025-01-15 18:00:12.939659] Active jobs: 3, Completed: 2
[2025-01-15 18:00:13.179249] Active jobs: 2, Completed: 3
[2025-01-15 18:00:14.179072] Active jobs: 1, Completed: 4
[2025-01-15 18:00:15.235897] Active jobs: 0, Completed: 5
[2025-01-15 18:00:35.800863] Active jobs: 4, Completed: 1
[2025-01-15 18:00:38.587228] Active jobs: 3, Completed: 2
[2025-01-15 18:00:38.786308] Active jobs: 2, Completed: 3
[2025-01-15 18:00:39.571158] Active jobs: 1, Completed: 4
[2025-01-15 18:00:40.551308] Active jobs: 0, Completed: 5
[2025-01-15 18:01:00.689087] Active jobs: 4, Completed: 1
[2025-01-15 18:01:03.327137] Active jobs: 3, Completed: 2
[2025-01-15 18:01:04.012846] Active jobs: 2, Completed: 3
[2025-01-15 18:01:04.889825] Active jobs: 1, Completed: 4
[2025-01-15 18:01:05.927276] Active jobs: 0, Completed: 5
[2025-01-15 18:01:25.731674] Active jobs: 4, Completed: 1
[2025-01-15 18:01:28.257687] Active jobs: 3, Completed: 2
[2025-01-15 18:01:30.171290] Active jobs: 2, Completed: 3
[2025-01-15 18:01:30.968786] Active jobs: 1, Completed: 4
[2025-01-15 18:01:31.543589] Active jobs: 0, Completed: 5
[2025-01-15 18:01:50.419158] Active jobs: 4, Completed: 1
[2025-01-15 18:01:54.712506] Active jobs: 3, Completed: 2
[2025-01-15 18:01:56.166668] Active jobs: 2, Completed: 3
[2025-01-15 18:01:56.373365] Active jobs: 1, Completed: 4
[2025-01-15 18:01:56.993907] Active jobs: 0, Completed: 5
[2025-01-15 18:02:16.851992] Active jobs: 4, Completed: 1
[2025-01-15 18:02:21.034321] Active jobs: 3, Completed: 2
[2025-01-15 18:02:21.193563] Active jobs: 2, Completed: 3
[2025-01-15 18:02:21.919601] Active jobs: 1, Completed: 4
[2025-01-15 18:02:22.888829] Active jobs: 0, Completed: 5
[2025-01-15 18:02:41.899416] Active jobs: 4, Completed: 1
[2025-01-15 18:02:46.768537] Active jobs: 3, Completed: 2
[2025-01-15 18:02:47.481459] Active jobs: 2, Completed: 3
[2025-01-15 18:02:48.094882] Active jobs: 1, Completed: 4
[2025-01-15 18:02:48.718597] Active jobs: 0, Completed: 5
[2025-01-15 18:03:08.625806] Active jobs: 4, Completed: 1
[2025-01-15 18:03:12.041134] Active jobs: 3, Completed: 2
[2025-01-15 18:03:12.724630] Active jobs: 2, Completed: 3
[2025-01-15 18:03:13.075351] Active jobs: 1, Completed: 4
[2025-01-15 18:03:14.035282] Active jobs: 0, Completed: 5
[2025-01-15 18:03:32.907476] Active jobs: 4, Completed: 1
[2025-01-15 18:03:36.920977] Active jobs: 3, Completed: 2
[2025-01-15 18:03:38.613883] Active jobs: 2, Completed: 3
[2025-01-15 18:03:39.038810] Active jobs: 1, Completed: 4
[2025-01-15 18:03:39.510494] Active jobs: 0, Completed: 5
[2025-01-15 18:03:58.812573] Active jobs: 4, Completed: 1
[2025-01-15 18:04:02.640991] Active jobs: 3, Completed: 2
[2025-01-15 18:04:03.043988] Active jobs: 2, Completed: 3
[2025-01-15 18:04:03.416324] Active jobs: 1, Completed: 4
[2025-01-15 18:04:04.542156] Active jobs: 0, Completed: 5
[2025-01-15 18:04:23.528609] Active jobs: 4, Completed: 1
[2025-01-15 18:04:28.861785] Active jobs: 3, Completed: 2
[2025-01-15 18:04:29.278549] Active jobs: 2, Completed: 3
[2025-01-15 18:04:29.919801] Active jobs: 1, Completed: 4
[2025-01-15 18:04:30.665901] Active jobs: 0, Completed: 5
[2025-01-15 18:04:49.498080] Active jobs: 4, Completed: 1
[2025-01-15 18:04:54.095662] Active jobs: 3, Completed: 2
[2025-01-15 18:04:54.453053] Active jobs: 2, Completed: 3
[2025-01-15 18:04:54.888509] Active jobs: 1, Completed: 4
[2025-01-15 18:04:55.738636] Active jobs: 0, Completed: 5
[2025-01-15 18:05:15.286763] Active jobs: 4, Completed: 1
[2025-01-15 18:05:19.736342] Active jobs: 3, Completed: 2
[2025-01-15 18:05:20.245940] Active jobs: 2, Completed: 3
